time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0],, fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X," X,", X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1777,0,0,1,11100010,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-31,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,-196,"-196,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0, 
1778,0,0,1,11011011,0,0,0,0,1,1,0,1,1,0,1,1,0,0,187,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,-2,"-2,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0, 
1779,0,0,1,11010011,0,0,0,0,1,1,0,1,0,0,1,1,0,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,129,"129,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, 
1780,0,0,1,11001100,0,0,0,0,1,1,0,0,1,1,0,0,0,0,-162,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,64,"64,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, 
1781,0,0,1,11000100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-95,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,-74,"-74,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0, 
1782,0,0,1,10111101,0,0,0,0,1,0,1,1,1,1,0,1,0,0,105,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,-147,"-147,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1, 
1783,0,0,1,11010110,0,0,0,0,1,1,0,1,0,1,1,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,49,"49,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1, 
1784,0,0,1,10101111,0,0,0,0,1,0,1,0,1,1,1,1,0,0,-35,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,205,"205,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1, 
1785,0,0,1,10101000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,-38,"-38,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0, 
1786,0,0,1,10100001,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-220,"-220,",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0, 
1787,0,0,1,10011011,0,0,0,0,1,0,0,1,1,0,1,1,0,0,208,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,29,"29,",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1, 
1788,0,0,1,10010100,0,0,0,0,1,0,0,1,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,188,"188,",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0, 
1789,0,0,1,10001110,0,0,0,0,1,0,0,0,1,1,1,0,0,0,-208,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,4,"4,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
1790,0,0,1,10001000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-43,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,-143,"-143,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1, 
1791,0,0,1,10000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,181,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,-69,"-69,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1, 
1792,0,0,1,1111011,0,0,0,0,0,1,1,1,1,0,1,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,103,"103,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1, 
1793,0,0,1,1110110,0,0,0,0,0,1,1,1,0,1,1,0,0,0,-127,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,144,"144,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0, 
1794,0,0,1,1110000,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-99,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,-82,"-82,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0, 
1795,0,0,1,1101010,0,0,0,0,0,1,1,0,1,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,-182,"-182,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0, 
1796,0,0,1,1100101,0,0,0,0,0,1,1,0,0,1,0,1,0,0,166,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,60,"60,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0, 
1797,0,0,1,1100000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,194,"194,",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0, 
1798,0,0,1,1011010,0,0,0,0,0,1,0,1,1,0,1,0,0,0,-224,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,-31,"-31,",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1, 
1799,0,0,1,1010101,0,0,0,0,0,1,0,1,0,1,0,1,0,0,-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,-178,"-178,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0, 
1800,0,0,1,1010000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,-23,"-23,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1, 
1801,0,0,1,1001100,0,0,0,0,0,1,0,0,1,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,160,"160,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0, 
1802,0,0,1,1000111,0,0,0,0,0,1,0,0,0,1,1,1,0,0,-188,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,73,"73,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1, 
1803,0,0,1,1000011,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-34,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,-146,"-146,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0, 
1804,0,0,1,111110,0,0,0,0,0,0,1,1,1,1,1,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,-117,"-117,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1, 
1805,0,0,1,111010,0,0,0,0,0,0,1,1,1,0,1,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,124,"124,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0, 
1806,0,0,1,110110,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-35,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,141,"141,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1, 
1807,0,0,1,110010,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,-74,"-74,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0, 
1808,0,0,1,101110,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-159,"-159,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1, 
1809,0,0,1,101011,0,0,0,0,0,0,1,0,1,0,1,1,0,0,204,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,9,"9,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1, 
1810,0,0,1,100111,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,"172,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0, 
1811,0,0,1,100100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-233,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,33,"33,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1, 
1812,0,0,1,100001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-188,"-188,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0, 
1813,0,0,1,11101,0,0,0,0,0,0,0,1,1,1,0,1,0,0,172,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,-67,"-67,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1, 
1814,0,0,1,11011,0,0,0,0,0,0,0,1,1,0,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,181,"181,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1, 
1815,0,0,1,11000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-114,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,91,"91,",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1, 
1816,0,0,1,10101,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-92,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,-147,"-147,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1, 
1817,0,0,1,10011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-95,"-95,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1, 
1818,0,0,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,79,"79,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1, 
1819,0,0,1,1110,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-30,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,129,"129,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, 
1820,0,0,1,1100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-212,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,-6,"-6,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0, 
1821,0,0,1,1010,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-167,"-167,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1, 
1822,0,0,1,1001,0,0,0,0,0,0,0,0,1,0,0,1,0,0,216,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-46,"-46,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0, 
1823,0,0,1,111,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,213,"213,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1, 
1824,0,0,1,110,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-180,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,61,"61,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1, 
1825,0,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-219,"-219,",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1, 
1826,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-61,"-61,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1, 
1827,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,161,"161,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1, 
1828,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-90,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,71,"71,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1, 
1829,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-184,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,-74,"-74,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0, 
1830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-116,"-116,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0, 
1831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,2,"2,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
1832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,178,"178,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0, 
1833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-190,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,44,"44,",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0, 
1834,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-229,"-229,",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1, 
1835,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,-46,"-46,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0, 
1836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,226,"226,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0, 
1837,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-159,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,39,"39,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1, 
1838,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,-171,"-171,",1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1, 
1839,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-53,"-53,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1, 
1840,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,83,"83,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1, 
1841,0,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-125,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,121,"121,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1, 
1842,0,0,1,110,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-148,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,-12,"-12,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0, 
1843,0,0,1,111,0,0,0,0,0,0,0,0,0,1,1,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,-184,"-184,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0, 
1844,0,0,1,1001,0,0,0,0,0,0,0,0,1,0,0,1,0,0,160,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-22,"-22,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0, 
1845,0,0,1,1010,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,231,"231,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1, 
1846,0,0,1,1100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-175,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,18,"18,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, 
1847,0,0,1,1110,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-67,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,-224,"-224,",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0, 
1848,0,0,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,-24,"-24,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0, 
1849,0,0,1,10011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,159,"159,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1, 
1850,0,0,1,10101,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-173,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,50,"50,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0, 
1851,0,0,1,11000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,-97,"-97,",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1, 
1852,0,0,1,11011,0,0,0,0,0,0,0,1,1,0,1,1,0,0,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,-114,"-114,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0, 
1853,0,0,1,11101,0,0,0,0,0,0,0,1,1,1,0,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,37,"37,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1, 
1854,0,0,1,100001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-52,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,178,"178,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0, 
1855,0,0,1,100100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-138,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,-10,"-10,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0, 
1856,0,0,1,100111,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-25,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-217,"-217,",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1, 
1857,0,0,1,101011,0,0,0,0,0,0,1,0,1,0,1,1,0,0,190,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,-10,"-10,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0, 
1858,0,0,1,101110,0,0,0,0,0,0,1,0,1,1,1,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,206,"206,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0, 
1859,0,0,1,110010,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-211,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,18,"18,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, 
1860,0,0,1,110110,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,-167,"-167,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1, 
1861,0,0,1,111010,0,0,0,0,0,0,1,1,1,0,1,0,0,0,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-64,"-64,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0, 
1862,0,0,1,111110,0,0,0,0,0,0,1,1,1,1,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,115,"115,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1, 
1863,0,0,1,1000011,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,121,"121,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1, 
1864,0,0,1,1000111,0,0,0,0,0,1,0,0,0,1,1,1,0,0,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,-77,"-77,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1, 
1865,0,0,1,1001100,0,0,0,0,0,1,0,0,1,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-144,"-144,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0, 
1866,0,0,1,1010000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,44,"44,",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0, 
1867,0,0,1,1010101,0,0,0,0,0,1,0,1,0,1,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,185,"185,",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1, 
1868,0,0,1,1011010,0,0,0,0,0,1,0,1,1,0,1,0,0,0,-187,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,-12,"-12,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0, 
1869,0,0,1,1100000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-55,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,-193,"-193,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1, 
1870,0,0,1,1100101,0,0,0,0,0,1,1,0,0,1,0,1,0,0,228,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-31,"-31,",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1, 
1871,0,0,1,1101010,0,0,0,0,0,1,1,0,1,0,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,167,"167,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1, 
1872,0,0,1,1110000,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-216,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,80,"80,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0, 
1873,0,0,1,1110110,0,0,0,0,0,1,1,1,0,1,1,0,0,0,-57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,-142,"-142,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0, 
1874,0,0,1,1111011,0,0,0,0,0,1,1,1,1,0,1,1,0,0,149,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-121,"-121,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1, 
1875,0,0,1,10000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,117,"117,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1, 
1876,0,0,1,10001000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-59,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,143,"143,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1, 
1877,0,0,1,10001110,0,0,0,0,1,0,0,0,1,1,1,0,0,0,-137,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,-74,"-74,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0, 
1878,0,0,1,10010100,0,0,0,0,1,0,0,1,0,1,0,0,0,0,-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,-153,"-153,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1, 
1879,0,0,1,10011011,0,0,0,0,1,0,0,1,1,0,1,1,0,0,192,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,20,"20,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0, 
